alg,score
hyperband,0.8994100589941005
hyperband,0.9045095490450955
hyperband,0.9000099990001
hyperband,0.9084091590840916
hyperband,0.9058094190580942
hyperband,0.9057094290570943
hyperband,0.9094090590940906
hyperband,0.9096090390960904
hyperband,0.911008899110089
hyperband,0.9116088391160884
passive,0.8909109089091091
passive,0.9072092790720928
passive,0.8233176682331766
passive,0.8871112888711129
passive,0.9006099390060994
passive,0.9066093390660934
passive,0.9033096690330967
passive,0.9006099390060994
passive,0.9064093590640936
passive,0.9077092290770923
