activation,alg,alpha,batch_size,hidden_layer_sizes,learning_rate,learning_rate_init,momentum,n_iter_no_change,nesterovs_momentum,power_t,solver
relu,hyperband,9.862658461312831e-05,128,"(10, 10)",constant,0.0008373806535266489,0.991991991991992,inf,True,0.8535535535535536,sgd
relu,hyperband,3.824569722466999e-06,128,"(10, 10)",constant,0.003058338032378432,0.8878878878878879,inf,True,0.7214214214214214,sgd
relu,hyperband,0.00023086779941871696,32,"(10, 10)",constant,0.002298059988758851,0.7407407407407407,inf,True,0.21851851851851853,sgd
relu,hyperband,1.762975375287204e-05,256,"(10, 10)",constant,0.009505565920101192,0.8928928928928929,inf,True,0.16966966966966968,sgd
relu,hyperband,1.4130259905995336e-05,32,"(5, 5, 5, 5)",constant,0.0012975171686575868,0.9019019019019019,inf,True,0.8263263263263263,sgd
relu,hyperband,0.00030024617090855494,32,"(10, 10)",constant,0.0008451366330684721,0.8898898898898899,inf,True,0.12482482482482483,sgd
relu,hyperband,1.762975375287204e-05,32,"(10, 10)",constant,0.0016566059589499151,0.8798798798798799,inf,True,0.6005005005005005,sgd
relu,hyperband,6.836516004510239e-05,128,"(10, 10)",constant,0.0036606951475969024,0.7357357357357357,inf,True,0.1864864864864865,sgd
relu,hyperband,8.648423275731726e-06,64,"(10, 10)",constant,0.0077963601304052365,0.09509509509509509,inf,True,0.6141141141141141,sgd
relu,hyperband,0.000823978568452852,32,"(20,)",constant,0.0016719497597319883,0.950950950950951,inf,True,0.15525525525525527,sgd
relu,hyperband,1.4526539259467812e-06,32,"(10, 10)",constant,0.0075836779149971905,0.6946946946946947,inf,True,0.4171171171171172,sgd
relu,hyperband,1.0209606623060476e-05,32,"(10, 10)",constant,0.002256074066496859,0.8058058058058059,inf,True,0.6357357357357357,sgd
relu,hyperband,4.04209583979631e-06,128,"(5, 5, 5, 5)",constant,0.004673795107992464,0.9259259259259259,inf,True,0.7574574574574575,sgd
relu,hyperband,0.00023734242500238661,32,"(10, 10)",constant,0.009637934799615786,0.5025025025025025,inf,True,0.1920920920920921,sgd
relu,hyperband,0.0008708431497690724,128,"(10, 10)",constant,0.007012063589007177,0.4624624624624625,inf,True,0.15925925925925927,sgd
relu,hyperband,0.00024231727942375982,32,"(10, 10)",constant,0.006335804992658254,0.4964964964964965,inf,True,0.6485485485485486,sgd
relu,hyperband,0.00038511070023255687,64,"(10, 10)",constant,0.009077326525210224,0.9329329329329329,inf,True,0.4395395395395396,sgd
relu,hyperband,7.583677914997191e-06,256,"(10, 10)",constant,0.008549327066268384,0.8128128128128128,inf,True,0.11761761761761763,sgd
relu,hyperband,6.205728806776501e-06,64,"(10, 10)",constant,0.00012419213527017832,0.996996996996997,inf,True,0.8335335335335335,sgd
relu,hyperband,3.151363484866482e-05,32,"(10, 10)",invscaling,0.0016263395040481922,0.990990990990991,inf,True,0.15125125125125127,sgd
relu,passive,2.1102034285685966e-06,32,"(5, 5, 5, 5)",constant,0.0074451229107951435,0.7427427427427428,inf,True,0.2897897897897898,sgd
relu,passive,1.7508270317357232e-05,128,"(10, 10)",constant,0.007760503335133571,0.3163163163163163,inf,True,0.3818818818818819,sgd
relu,passive,1.556654359271062e-05,32,"(20,)",constant,0.0008296958520834907,0.4954954954954955,inf,True,0.4771771771771772,sgd
relu,passive,2.860595535175739e-05,32,"(5, 5, 5, 5)",constant,0.0018935521797562953,0.3983983983983984,inf,True,0.16486486486486487,sgd
relu,passive,4.04209583979631e-06,32,"(10, 10)",constant,0.0038689007393279753,0.5815815815815816,inf,True,0.5548548548548549,sgd
relu,passive,3.5444556739704356e-06,32,"(10, 10)",constant,0.003002461709085549,0.7697697697697697,inf,True,0.3186186186186186,sgd
relu,passive,1.4327029534098295e-05,128,"(10, 10)",constant,0.007832382599179196,0.058058058058058054,inf,True,0.6805805805805806,sgd
relu,passive,3.720236681413066e-05,128,"(20,)",constant,0.003511927530450728,0.994994994994995,inf,True,0.41471471471471477,sgd
relu,passive,8.648423275731726e-06,64,"(10, 10)",constant,0.0077963601304052365,0.09509509509509509,inf,True,0.6141141141141141,sgd
relu,passive,0.0006162966255132943,64,"(5, 5, 5, 5)",constant,0.003277294849923382,0.24324324324324323,inf,True,0.33783783783783783,sgd
relu,passive,5.994842503189409e-05,32,"(5, 5, 5, 5)",constant,0.0018249932448161524,0.6046046046046046,inf,True,0.32262262262262265,sgd
relu,passive,0.00011325413151528115,64,"(10, 10)",constant,0.009593608287093146,0.6356356356356356,inf,True,0.4027027027027027,sgd
relu,passive,8.952657125996401e-05,128,"(10, 10)",constant,0.0089526571259964,0.5795795795795796,inf,True,0.4907907907907908,sgd
relu,passive,6.335804992658255e-06,32,"(10, 10)",constant,0.008201889499202203,0.8988988988988988,inf,True,0.1984984984984985,sgd
relu,passive,3.0442722120643058e-05,32,"(10, 10)",constant,0.0006680743915695614,0.36736736736736736,inf,True,0.1768768768768769,sgd
relu,passive,2.543345761304648e-05,128,"(20,)",constant,0.004321511127789762,0.9259259259259259,inf,True,0.7686686686686687,sgd
relu,passive,0.0008588828559546249,32,"(5, 5, 5, 5)",constant,0.0012856096069432965,0.7727727727727728,inf,True,0.6749749749749749,sgd
relu,passive,5.791122647641758e-06,32,"(10, 10)",constant,0.008549327066268384,0.3283283283283283,inf,True,0.8311311311311311,sgd
relu,passive,0.0003376980310825091,512,"(10, 10)",constant,0.005125186927053333,0.9359359359359359,inf,True,0.48358358358358355,sgd
relu,passive,0.000595353313081437,128,"(10, 10)",constant,0.005031548945038057,0.5615615615615616,inf,True,0.1632632632632633,sgd
