activation,alg,alpha,batch_size,hidden_layer_sizes,learning_rate,learning_rate_init,momentum,n_iter_no_change,nesterovs_momentum,power_t,solver
relu,hyperband,0.0006604193962330305,64,"(12, 12)",constant,0.0012220446866314887,0.8758758758758759,inf,True,0.1960960960960961,sgd
relu,hyperband,7.2253494917872216e-06,256,"(24,)",constant,0.006134621717992506,0.990990990990991,inf,True,0.2001001001001001,sgd
relu,hyperband,1.483102514336103e-06,64,"(12, 12)",constant,0.0002847439166467248,0.980980980980981,inf,True,0.7486486486486487,sgd
relu,hyperband,0.0003798215306190736,64,"(12, 12)",constant,0.0036271002523306484,0.8288288288288288,inf,True,0.6573573573573573,sgd
relu,hyperband,2.9205555121827453e-06,64,"(12, 12)",constant,0.003030271082866396,0.953953953953954,inf,True,0.17527527527527528,sgd
relu,hyperband,0.0004871780218794631,512,"(12, 12)",constant,0.004916903577628032,0.9829829829829829,inf,True,0.5484484484484484,sgd
relu,hyperband,0.0007689283720758313,64,"(12, 6, 3, 3)",constant,0.009908228099003798,0.8918918918918919,inf,True,0.27217217217217216,sgd
relu,hyperband,1.2563166024741215e-05,32,"(12, 12)",constant,0.00694771254846024,0.22022022022022023,inf,True,0.8871871871871873,sgd
relu,hyperband,1.9828839491270713e-05,128,"(12, 12)",constant,0.008470868266557402,0.5425425425425425,inf,True,0.8207207207207208,sgd
relu,hyperband,4.391800892596086e-06,64,"(12, 12)",constant,0.0032174181506763717,0.9139139139139139,inf,True,0.6277277277277278,sgd
relu,hyperband,1.915500555573528e-06,32,"(12, 12)",invscaling,0.0059398266939203566,0.9009009009009009,inf,True,0.12482482482482483,sgd
relu,hyperband,2.1102034285685967e-05,256,"(12, 12)",constant,0.004760775230226368,0.958958958958959,inf,True,0.8487487487487487,sgd
relu,hyperband,0.00025609931002584595,64,"(12, 12)",constant,0.006634708121092351,0.8228228228228228,inf,True,0.8903903903903904,sgd
relu,hyperband,0.0001514189325304352,32,"(12, 12)",constant,0.003746050032748993,0.9219219219219219,inf,True,0.7790790790790791,sgd
relu,hyperband,1.4327029534098294e-06,512,"(6, 6, 6, 6)",constant,0.006162966255132942,0.9289289289289289,inf,True,0.8175175175175176,sgd
relu,hyperband,0.0005220567527846976,32,"(12, 12)",constant,0.001911090621689138,0.8628628628628628,inf,True,0.7086086086086086,sgd
relu,hyperband,0.0002706652070033241,32,"(12, 12)",constant,0.006220048825634711,0.30930930930930933,inf,True,0.1896896896896897,sgd
relu,hyperband,2.27697025538168e-06,64,"(6, 6, 6, 6)",constant,0.002086024089248505,0.933933933933934,inf,True,0.20810810810810812,sgd
relu,hyperband,0.000259665597293487,64,"(6, 6, 6, 6)",constant,0.004422273980505897,0.7167167167167167,inf,True,0.11121121121121122,sgd
relu,hyperband,0.0004483855948021186,128,"(12, 12)",constant,0.009682466119303124,0.8788788788788788,inf,True,0.8351351351351352,sgd
relu,hyperband,0.000390473523688556,128,"(24,)",constant,0.0034161232685855285,0.9619619619619619,inf,True,0.15285285285285286,sgd
relu,hyperband,8.015006961565414e-05,32,"(12, 12)",constant,0.0033537101520029287,0.8878878878878879,inf,True,0.16486486486486487,sgd
relu,hyperband,0.0001,128,"(12, 12)",constant,0.007044462277299037,0.955955955955956,inf,True,0.3634634634634635,sgd
relu,hyperband,1.6796748720926532e-06,64,"(12, 12)",constant,0.008510007247122246,0.9459459459459459,inf,True,0.14004004004004006,sgd
relu,hyperband,7.175560918936921e-06,64,"(12, 12)",constant,0.0075836779149971905,0.7427427427427428,inf,True,0.3674674674674675,sgd
relu,passive,0.00010069386314760271,64,"(6, 6, 6, 6)",constant,0.009682466119303124,0.953953953953954,inf,True,0.23533533533533535,sgd
relu,passive,0.0002651083601908539,32,"(24,)",constant,0.001303512244681509,0.6566566566566566,inf,True,0.37227227227227233,sgd
relu,passive,7.126115430111745e-06,64,"(12, 6, 3, 3)",constant,0.0034957755743632753,0.6926926926926927,inf,True,0.493993993993994,sgd
relu,passive,0.00015246957270175746,64,"(12, 12)",constant,0.0065134909462728026,0.7817817817817818,inf,True,0.13523523523523523,sgd
relu,passive,2.6694784940343236e-06,256,"(12, 6, 3, 3)",constant,0.009593608287093146,0.964964964964965,inf,True,0.2641641641641642,sgd
relu,passive,0.0007028244264308346,64,"(12, 12)",constant,0.0011616226326085018,0.8848848848848849,inf,True,0.280980980980981,sgd
relu,passive,7.58367791499719e-05,32,"(24,)",constant,0.008829699955494083,0.5765765765765766,inf,True,0.5420420420420421,sgd
relu,passive,0.0002578762887593801,128,"(12, 12)",constant,0.00326222200971167,0.8118118118118118,inf,True,0.5860860860860861,sgd
relu,passive,1.3369837418249452e-06,64,"(12, 12)",constant,0.005994842503189409,0.5625625625625625,inf,True,0.2913913913913914,sgd
relu,passive,0.0003746050032748993,64,"(24,)",constant,0.004717084690917017,0.8198198198198198,inf,True,0.7902902902902903,sgd
relu,passive,4.45295850994266e-05,256,"(12, 6, 3, 3)",constant,0.007012063589007177,0.8608608608608609,inf,True,0.10800800800800801,sgd
relu,passive,2.782559402207126e-06,32,"(12, 12)",constant,0.0006409244019356456,0.7317317317317317,inf,True,0.46596596596596596,sgd
relu,passive,0.00018376562003881704,32,"(24,)",constant,0.009077326525210224,0.8748748748748749,inf,True,0.12322322322322324,sgd
relu,passive,0.0001589282865622978,64,"(6, 6, 6, 6)",constant,0.004051423171114647,0.4134134134134134,inf,True,0.2641641641641642,sgd
relu,passive,2.0812215699863373e-05,32,"(24,)",constant,0.0027128978003724646,0.5985985985985985,inf,True,0.21531531531531534,sgd
relu,passive,0.00016566059589499135,128,"(6, 6, 6, 6)",constant,0.004483855948021191,0.5395395395395395,inf,True,0.8223223223223224,sgd
relu,passive,7.742636826811277e-06,64,"(12, 12)",constant,0.0034004119327037063,0.9189189189189189,inf,True,0.5180180180180181,sgd
relu,passive,2.8605955351757447e-06,128,"(12, 12)",constant,0.008549327066268384,0.3283283283283283,inf,True,0.8311311311311311,sgd
relu,passive,5.912508413831881e-06,256,"(12, 12)",constant,0.00697981390783066,0.6256256256256256,inf,True,0.863963963963964,sgd
relu,passive,0.00013369837418249466,64,"(12, 12)",constant,0.003711671819475767,0.968968968968969,inf,True,0.8967967967967968,sgd
relu,passive,6.650018030431119e-05,64,"(24,)",constant,0.0068839520696454964,0.8508508508508509,inf,True,0.723023023023023,sgd
relu,passive,2.651083601908536e-06,128,"(24,)",constant,0.00903557834613892,0.9099099099099099,inf,True,0.24654654654654656,sgd
relu,passive,0.0006696160054853222,256,"(12, 12)",constant,0.0062776601058065,0.7017017017017017,inf,True,0.41471471471471477,sgd
relu,passive,1.6003103137387017e-05,128,"(12, 12)",constant,0.0007636298261282241,0.9289289289289289,inf,True,0.5620620620620621,sgd
relu,passive,0.00018376562003881704,32,"(12, 12)",constant,0.00263889081445751,0.6666666666666666,inf,True,0.6277277277277278,sgd
