alg,score
hyperband,0.911617676464707
hyperband,0.9072185562887423
hyperband,0.9119176164767047
hyperband,0.9095180963807239
hyperband,0.9134173165366927
hyperband,0.9093181363727254
hyperband,0.9019196160767846
hyperband,0.915116976604679
hyperband,0.9062187562487503
hyperband,0.9092181563687263
hyperband,0.912617476504699
hyperband,0.9130173965206959
hyperband,0.9152169566086783
hyperband,0.9108178364327134
hyperband,0.9123175364927014
hyperband,0.9085182963407319
hyperband,0.9108178364327134
hyperband,0.9090181963607279
hyperband,0.9125174965006999
hyperband,0.9156168766246751
hyperband,0.9034193161367726
hyperband,0.9133173365326934
hyperband,0.9155168966206758
hyperband,0.910117976404719
hyperband,0.9143171365726854
passive,0.9104179164167167
passive,0.8608278344331134
passive,0.744751049790042
passive,0.9172165566886623
passive,0.7893421315736853
passive,0.9113177364527094
passive,0.9048190361927615
passive,0.9033193361327735
passive,0.911617676464707
passive,0.8854229154169166
passive,0.7509498100379924
passive,0.8992201559688062
passive,0.9078184363127374
passive,0.9098180363927214
passive,0.8760247950409918
passive,0.9044191161767646
passive,0.9094181163767247
passive,0.9134173165366927
passive,0.9024195160967806
passive,0.9010197960407919
passive,0.8973205358928215
passive,0.903119376124775
passive,0.9080183963207359
passive,0.902619476104779
passive,0.912117576484703
