alg,score
hyperband,0.9073092690730927
hyperband,0.8998100189981002
hyperband,0.9031096890310969
hyperband,0.9136086391360864
hyperband,0.9059094090590941
hyperband,0.906009399060094
hyperband,0.9089091090890911
hyperband,0.9071092890710929
hyperband,0.9134086591340866
hyperband,0.9041095890410958
passive,0.894010598940106
passive,0.9024097590240976
passive,0.6536346365363463
passive,0.8902109789021098
passive,0.9072092790720928
passive,0.9108089191080891
passive,0.8663133686631337
passive,0.9093090690930907
passive,0.8967103289671033
passive,0.9121087891210878
