activation,alg,alpha,batch_size,hidden_layer_sizes,learning_rate,learning_rate_init,momentum,n_iter_no_change,nesterovs_momentum,power_t,random_state,score,solver
relu,hyperband,2.651083601908536e-06,128,"(12, 12)",constant,0.00903557834613892,0.8768768768768769,inf,True,0.8687687687687687,42,0.9038192361527695,sgd
relu,hyperband,7.2253494917872216e-06,256,"(24,)",constant,0.006134621717992506,0.990990990990991,inf,True,0.2001001001001001,42,0.9099180163967207,sgd
relu,hyperband,1.524695727017573e-05,32,"(12, 12)",constant,0.00675818116816111,0.4164164164164164,inf,True,0.280980980980981,42,0.907618476304739,sgd
relu,hyperband,0.00021844360711494262,512,"(12, 12)",constant,0.004652299523960189,0.983983983983984,inf,True,0.5972972972972973,42,0.9140171965606879,sgd
relu,hyperband,2.9205555121827453e-06,64,"(12, 12)",constant,0.003030271082866396,0.953953953953954,inf,True,0.17527527527527528,42,0.9147170565886823,sgd
relu,hyperband,0.00012390621569479155,32,"(12, 12)",constant,0.00588531577519145,0.6186186186186187,inf,True,0.586886886886887,42,0.9079184163167366,sgd
relu,hyperband,0.000790492762269642,32,"(12, 12)",constant,0.008510007247122246,0.5185185185185185,inf,True,0.8215215215215216,42,0.9069186162767446,sgd
relu,hyperband,0.0004483855948021186,32,"(12, 12)",invscaling,0.008911482322840203,0.978978978978979,inf,True,0.33223223223223225,42,0.9145170965806838,sgd
relu,hyperband,1.622595287078087e-05,32,"(12, 12)",constant,0.0005871766390733255,0.938938938938939,inf,True,0.4403403403403403,42,0.9132173565286943,sgd
relu,hyperband,7.275483529196233e-06,64,"(24,)",constant,0.0030163343472591974,0.8998998998998999,inf,True,0.6349349349349349,42,0.9114177164567087,sgd
relu,hyperband,0.00011887076977119033,512,"(6, 6, 6, 6)",constant,0.003232283978181381,0.990990990990991,inf,True,0.4075075075075075,42,0.9180163967206558,sgd
relu,hyperband,0.0005633142670601357,128,"(12, 12)",constant,0.0036271002523306484,0.9769769769769769,inf,True,0.5628628628628629,42,0.9155168966206758,sgd
