alg,score
hyperband,0.9127087291270873
hyperband,0.9089091090890911
hyperband,0.9055094490550945
hyperband,0.9132086791320868
hyperband,0.905009499050095
hyperband,0.9136086391360864
hyperband,0.9067093290670933
hyperband,0.894010598940106
hyperband,0.9054094590540946
hyperband,0.9063093690630937
hyperband,0.9046095390460954
hyperband,0.9142085791420858
hyperband,0.906009399060094
hyperband,0.9092090790920908
hyperband,0.9106089391060894
hyperband,0.8989101089891011
hyperband,0.9075092490750925
hyperband,0.9133086691330867
hyperband,0.9059094090590941
hyperband,0.9016098390160984
passive,0.911008899110089
passive,0.8928107189281071
passive,0.6213378662133786
passive,0.8854114588541145
passive,0.8987101289871013
passive,0.9091090890910909
passive,0.9034096590340965
passive,0.9032096790320968
passive,0.9131086891310869
passive,0.9046095390460954
passive,0.9055094490550945
passive,0.9088091190880911
passive,0.909009099090091
passive,0.9038096190380962
passive,0.5896410358964104
passive,0.8951104889511049
passive,0.8872112788721128
passive,0.892010798920108
passive,0.8984101589841016
passive,0.9012098790120988
