activation,alg,alpha,batch_size,hidden_layer_sizes,learning_rate,learning_rate_init,momentum,n_iter_no_change,nesterovs_momentum,power_t,solver
relu,hyperband,0.0006604193962330305,64,"(12, 12)",constant,0.0012220446866314887,0.8758758758758759,inf,True,0.1960960960960961,sgd
relu,hyperband,0.00036187498124112805,32,"(12, 12)",constant,0.0006092349152400712,0.963963963963964,inf,True,0.6245245245245246,sgd
relu,hyperband,2.373424250023866e-06,32,"(12, 12)",constant,0.00741088151564157,0.9129129129129129,inf,True,0.5956956956956957,sgd
relu,hyperband,0.00021844360711494262,512,"(12, 12)",constant,0.004652299523960189,0.983983983983984,inf,True,0.5972972972972973,sgd
relu,hyperband,2.9205555121827453e-06,64,"(12, 12)",constant,0.003030271082866396,0.953953953953954,inf,True,0.17527527527527528,sgd
relu,hyperband,5.148867450137497e-06,32,"(6, 6, 6, 6)",constant,0.008164167604921472,0.08208208208208208,inf,True,0.10880880880880882,sgd
relu,hyperband,0.000697981390783066,64,"(6, 6, 6, 6)",constant,0.004242556430717777,0.9369369369369369,inf,True,0.6157157157157157,sgd
relu,hyperband,1.2563166024741215e-05,32,"(12, 12)",constant,0.00694771254846024,0.22022022022022023,inf,True,0.8871871871871873,sgd
relu,hyperband,0.00011643031329208767,32,"(12, 12)",constant,0.0018418966807997109,0.8258258258258259,inf,True,0.7262262262262262,sgd
relu,hyperband,0.00020526377527092522,128,"(12, 12)",constant,0.00160400310705682,0.958958958958959,inf,True,0.4211211211211211,sgd
relu,hyperband,1.0351779556301762e-06,32,"(6, 6, 6, 6)",constant,0.0021945290862033138,0.8048048048048048,inf,True,0.5556556556556557,sgd
relu,hyperband,1.4426439512181588e-05,64,"(12, 12)",constant,0.004609604486828434,0.9139139139139139,inf,True,0.2617617617617618,sgd
relu,hyperband,0.00025609931002584595,64,"(12, 12)",constant,0.006634708121092351,0.8228228228228228,inf,True,0.8903903903903904,sgd
relu,hyperband,0.0001514189325304352,32,"(12, 12)",constant,0.003746050032748993,0.9219219219219219,inf,True,0.7790790790790791,sgd
