activation,alg,alpha,batch_size,best_score_,hidden_layer_sizes,learning_rate,learning_rate_init,momentum,n_iter_no_change,nesterovs_momentum,power_t,random_state,solver
relu,hyperband,0.00013005112521734084,64,0.906190019193858,"(12, 12)",constant,0.005831305113526219,0.8478478478478478,inf,True,0.11841841841841842,1920,sgd
relu,hyperband,0.00048382096649259574,32,0.9111084452975048,"(12, 12)",constant,0.006134621717992506,0.2652652652652653,inf,True,0.3106106106106106,2786,sgd
relu,hyperband,0.00014130259905995336,64,0.9120681381957774,"(12, 12)",constant,0.0053669769455404765,0.8378378378378378,inf,True,0.39629629629629637,3058,sgd
relu,hyperband,8.183006815867389e-06,32,0.9103886756238004,"(12, 12)",constant,0.000818300681586739,0.94994994994995,inf,True,0.2105105105105105,5633,sgd
relu,hyperband,0.0009727203192450537,64,0.9125479846449136,"(12, 12)",constant,0.004717084690917017,0.2952952952952953,inf,True,0.11761761761761763,2893,sgd
relu,hyperband,2.9205555121827453e-06,32,0.8989923224568138,"(12, 12)",constant,0.006365079081295571,0.7507507507507507,inf,True,0.8615615615615616,6572,sgd
relu,hyperband,0.00011403996019700331,256,0.9124280230326296,"(12, 12)",constant,0.005831305113526219,0.9569569569569569,inf,True,0.8103103103103103,9764,sgd
relu,hyperband,3.1952475057592136e-05,64,0.9093090211132437,"(12, 12)",constant,0.0011456687286348715,0.948948948948949,inf,True,0.6845845845845846,4677,sgd
relu,hyperband,0.0003824569722466999,64,0.914827255278311,"(12, 12)",constant,0.0014694918006248172,0.96996996996997,inf,True,0.8319319319319319,7941,sgd
relu,hyperband,1e-05,32,0.9107485604606526,"(12, 12)",constant,0.005831305113526219,0.7877877877877878,inf,True,0.2945945945945946,2586,sgd
relu,hyperband,5.043159487171359e-05,32,0.9048704414587332,"(24,)",constant,0.008870496889654403,0.6426426426426426,inf,True,0.5028028028028029,7394,sgd
relu,hyperband,2.9817722900196732e-06,64,0.9103886756238004,"(12, 12)",constant,0.0065134909462728026,0.8738738738738738,inf,True,0.5996996996996997,9102,sgd
relu,hyperband,0.0005404216420705915,32,0.9037907869481766,"(12, 12)",constant,0.007376797602527731,0.34734734734734735,inf,True,0.3698698698698699,4057,sgd
