alg,score
hyperband,0.913008699130087
hyperband,0.911008899110089
hyperband,0.9068093190680931
hyperband,0.9139086091390861
hyperband,0.9109089091090891
hyperband,0.9066093390660934
hyperband,0.9048095190480951
hyperband,0.9027097290270973
hyperband,0.9118088191180882
hyperband,0.911008899110089
hyperband,0.9054094590540946
hyperband,0.9066093390660934
hyperband,0.9098090190980902
hyperband,0.9099090090990901
hyperband,0.8681131886811319
hyperband,0.9111088891110889
hyperband,0.9129087091290871
hyperband,0.9136086391360864
hyperband,0.9039096090390961
hyperband,0.9179082091790821
hyperband,0.9024097590240976
hyperband,0.9142085791420858
hyperband,0.9023097690230977
hyperband,0.9073092690730927
hyperband,0.9056094390560944
hyperband,0.9097090290970903
hyperband,0.9108089191080891
hyperband,0.9128087191280871
hyperband,0.9153084691530847
hyperband,0.9067093290670933
hyperband,0.9107089291070893
passive,0.8575142485751425
passive,0.861013898610139
passive,0.6260373962603739
passive,0.515948405159484
passive,0.7148285171482852
passive,0.9104089591040896
passive,0.8478152184781522
passive,0.6965303469653035
passive,0.9039096090390961
passive,0.8909109089091091
passive,0.7844215578442156
passive,0.7778222177782221
passive,0.8905109489051095
passive,0.9152084791520848
passive,0.7963203679632037
passive,0.9052094790520948
passive,0.9102089791020898
passive,0.8902109789021098
passive,0.8906109389061094
passive,0.9098090190980902
passive,0.8993100689931007
passive,0.8946105389461054
passive,0.8924107589241076
passive,0.9048095190480951
passive,0.9084091590840916
passive,0.4507549245075492
passive,0.9025097490250975
passive,0.8835116488351165
passive,0.8751124887511249
passive,0.9033096690330967
passive,0.8026197380261973
